Category,Topic,X6 xDrive40i M Sport
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,998"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"280 / 381 / 5,200 - 6,250"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"520 / 1,850 - 5,000"
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),9 / 12
เครื่องยนต์และสมรรถนะ,กำลังรวมสูงสุด (กิโลวัตต์/แรงม้า),280 / 381
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),540
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),250
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),5.4
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),11.5
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),198
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 22 นิ้ว ลาย Double-spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9.5 J × 22 / ยาง 275/35 R22 ล้อหลัง: 10.5 J × 22 / ยาง 315/30 R22
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,960 / 2,004 / 1,700"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"580 - 1,530"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,240"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronic,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่างถุงลม Adaptive 2-axle,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ รุ่น Professional (Driving Assistant Professional),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Professional (Parking Assistant Professional),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบท่อไอเสีย M Sport,■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
