Category,Topic,X4 xDrive20d M Sport
ENGINE AND PERFORMANCE,Engine type,BMW TwinPower Turbo 4-cylinder diesel engine
ENGINE AND PERFORMANCE,Displacement (cm³),"1,995"
ENGINE AND PERFORMANCE,Engine power (kW/hp/rpm),"140 / 190 / 4,000"
ENGINE AND PERFORMANCE,Engine torque (Nm/rpm),"400 / 1,750 - 2,500"
ENGINE AND PERFORMANCE,Top speed (km/h),213
ENGINE AND PERFORMANCE,0 - 100 km/h (s),8.0
FUEL CONSUMPTION AND CO2,Combined fuel consumption from ECO Sticker result (km/l),17.9
FUEL CONSUMPTION AND CO2,Combined CO2 (g/km),146
WHEELS AND TYRES,Light alloy wheels,"20"" M light alloy wheels Double-spoke style"
WHEELS AND TYRES,Tyre size,Front: 8 J × 20 / tyres 245/45 R20 Rear: 9.5 J × 20 / tyres 275/40 R20
WHEELS AND TYRES,Runflat tyres,■
DIMENSION,Length / width / height (mm),"4,751 / 1,918 / 1,621"
DIMENSION,Luggage capacity (l),"525 - 1,430"
DIMENSION,Curb weight (kg),"1,815"
Transmission and technology,8-speed Steptronic transmission with gearshift paddles,■
Transmission and technology,Adaptive suspension,■
Transmission and technology,Cruise control with braking function,■
Transmission and technology,Driving Assistant,■
Transmission and technology,xDrive,■
Transmission and technology,Performance Control,■
Transmission and technology,BMW Head-up display,■
Transmission and technology,Parking Assistant Plus,■
Exterior,Adaptive LED headlights,■
Exterior,BMW Individual Lights Shadow Line,■
Exterior,High-beam assistant,■
Exterior,M Sport brake,■
Exterior,Comfort access system,■
Exterior,Panorama glass roof,■
Exterior,M Aerodynamics package,■
Exterior,BMW Individual high-gloss Shadow Line,■
Exterior,BMW Individual high-gloss Shadow Line with extended contents,■
Exterior,BMW Individual roof rails high-gloss Shadow Line,■
Interior,Interior rear-view mirror with automatic anti-dazzle function,■
Interior,Interior and exterior mirrors with automatic anti-dazzle function,■
Interior,"Seat adjustment, electric, with memory",■
Interior,Seat backrest width adjustment,■
Interior,Sport seats for driver and front passenger,■
Interior,M Sport leather steering wheel,■
Interior,Instrument panel in Sensatec,■
Interior,Ambient light,■
Interior,BMW Individual headliner anthracite,■
Interior,M Interior trim finishers Carbon Fibre,■
Interior,3-Zone Automatic air conditioning,■
Interior,Storage compartment package,■
Entertainment and communication,BMW Live Cockpit Professional,■
Entertainment and communication,BMW ConnectedDrive,■
Entertainment and communication,BMW Gesture Control,■
Entertainment and communication,Harman Kardon surround sound system,■
Entertainment and communication,Smartphone integration,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for 1st and 2nd seat row,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Traction Control (DTC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Crash sensor,■
Safety,Side impact protection,■
Safety,Active Protection,■
Safety,Runflat indicator,■
Safety,Passive protection for pedestrians,■
Safety,Surround view camera,■
Line / package,M Sport,■
Paintwork & Upholstery,Alpine White Solid,Leather 'Vernasca' - Tacora Red decor stitching
Paintwork & Upholstery,Black Sapphire Metallic,Leather 'Vernasca' - Tacora Red decor stitching
Paintwork & Upholstery,Brooklyn Grey Metallic,Leather 'Vernasca' - Tacora Red decor stitching
Paintwork & Upholstery,Phytonic Blue Metallic,Leather 'Vernasca' - Black decor stitching
Paintwork & Upholstery,Piemont Red Metallic,Leather 'Vernasca' - Black decor stitching
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",■
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",■
Document References,Publication Date,15 January 2025
Document References,Package Code (Local Pack),"(ZCT, Z2C, Z2D, ZEX, ZFS, ZIK, Z3Y, Z5D, Z8T)"
